Bed_file,Genomic_N,Overlap_N,Percentage_found
scz_cogs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,566,0,0.0
scz_cati_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,398,0,0.0
scz_mts1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
scz_tcdn_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1195,304,0.25439330543933053
scz_phrs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,22,18,0.8181818181818182
scz_umcu_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,666,528,0.7927927927927928
scz_deco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,365,103,0.2821917808219178
scz_lanr_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,61,51,0.8360655737704918
scz_nefs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,206,146,0.7087378640776699
scz_gapl_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,36,0.29508196721311475
scz_cida_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,95,0.7786885245901639
scz_camh_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,165,148,0.896969696969697
scz_mcic_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,100,91,0.91
scz_paco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1066,0,0.0
scz_page_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,478,0,0.0
scz_mfs1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
sum_total,5722,1547,nan
