column_variable,total_missing,percent_missing
rh_G_and_S_frontomargin_volume_D,0,0.0
rh_G_and_S_occipital_inf_volume_D,0,0.0
rh_G_and_S_paracentral_volume_D,0,0.0
rh_G_and_S_subcentral_volume_D,0,0.0
rh_G_and_S_transv_frontopol_volume_D,0,0.0
rh_G_and_S_cingul.Ant_volume_D,0,0.0
rh_G_and_S_cingul.Mid.Ant_volume_D,0,0.0
rh_G_and_S_cingul.Mid.Post_volume_D,0,0.0
rh_G_cingul.Post.dorsal_volume_D,0,0.0
rh_G_cingul.Post.ventral_volume_D,0,0.0
rh_G_cuneus_volume_D,0,0.0
rh_G_front_inf.Opercular_volume_D,0,0.0
rh_G_front_inf.Orbital_volume_D,0,0.0
rh_G_front_inf.Triangul_volume_D,0,0.0
rh_G_front_middle_volume_D,0,0.0
rh_G_front_sup_volume_D,0,0.0
rh_G_Ins_lg_and_S_cent_ins_volume_D,0,0.0
rh_G_insular_short_volume_D,0,0.0
rh_G_occipital_middle_volume_D,0,0.0
rh_G_occipital_sup_volume_D,0,0.0
rh_G_oc.temp_lat.fusifor_volume_D,0,0.0
rh_G_oc.temp_med.Lingual_volume_D,0,0.0
rh_G_oc.temp_med.Parahip_volume_D,0,0.0
rh_G_orbital_volume_D,0,0.0
rh_G_pariet_inf.Angular_volume_D,0,0.0
rh_G_pariet_inf.Supramar_volume_D,0,0.0
rh_G_parietal_sup_volume_D,0,0.0
rh_G_postcentral_volume_D,0,0.0
rh_G_precentral_volume_D,0,0.0
rh_G_precuneus_volume_D,0,0.0
rh_G_rectus_volume_D,0,0.0
rh_G_subcallosal_volume_D,0,0.0
rh_G_temp_sup.G_T_transv_volume_D,0,0.0
rh_G_temp_sup.Lateral_volume_D,0,0.0
rh_G_temp_sup.Plan_polar_volume_D,0,0.0
rh_G_temp_sup.Plan_tempo_volume_D,0,0.0
rh_G_temporal_inf_volume_D,0,0.0
rh_G_temporal_middle_volume_D,0,0.0
rh_Lat_Fis.ant.Horizont_volume_D,0,0.0
rh_Lat_Fis.ant.Vertical_volume_D,0,0.0
rh_Lat_Fis.post_volume_D,0,0.0
rh_Pole_occipital_volume_D,0,0.0
rh_Pole_temporal_volume_D,0,0.0
rh_S_calcarine_volume_D,0,0.0
rh_S_central_volume_D,0,0.0
rh_S_cingul.Marginalis_volume_D,0,0.0
rh_S_circular_insula_ant_volume_D,0,0.0
rh_S_circular_insula_inf_volume_D,0,0.0
rh_S_circular_insula_sup_volume_D,0,0.0
rh_S_collat_transv_ant_volume_D,0,0.0
rh_S_collat_transv_post_volume_D,0,0.0
rh_S_front_inf_volume_D,0,0.0
rh_S_front_middle_volume_D,0,0.0
rh_S_front_sup_volume_D,0,0.0
rh_S_interm_prim.Jensen_volume_D,0,0.0
rh_S_intrapariet_and_P_trans_volume_D,0,0.0
rh_S_oc_middle_and_Lunatus_volume_D,0,0.0
rh_S_oc_sup_and_transversal_volume_D,0,0.0
rh_S_occipital_ant_volume_D,0,0.0
rh_S_oc.temp_lat_volume_D,0,0.0
rh_S_oc.temp_med_and_Lingual_volume_D,0,0.0
rh_S_orbital_lateral_volume_D,0,0.0
rh_S_orbital_med.olfact_volume_D,0,0.0
rh_S_orbital.H_Shaped_volume_D,0,0.0
rh_S_parieto_occipital_volume_D,0,0.0
rh_S_pericallosal_volume_D,0,0.0
