Bed_file,Genomic_N,Overlap_N,Percentage_found
scz_cogs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,566,0,0.0
scz_tcdn_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1195,304,0.25439330543933053
scz_lanr_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_cida_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,14,12,0.8571428571428571
scz_lanr_all_gb-qc.hg19.ch.fl.bgs.reid.bed,80,68,0.85
scz_deco_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,97,19,0.1958762886597938
scz_deco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,365,103,0.2821917808219178
scz_cati_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,229,0,0.0
scz_camh_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,16,13,0.8125
scz_camh_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,12,8,0.6666666666666666
scz_paco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1066,0,0.0
scz_mcic_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,28,24,0.8571428571428571
scz_cida_all_gb-qc.hg19.ch.fl.bgs.reid.bed,210,164,0.780952380952381
scz_gapl_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,25,14,0.56
scz_imh4_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,420,0,0.0
scz_cida_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,16,13,0.8125
scz_lanr_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,2,1,0.5
scz_umcu_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,666,528,0.7927927927927928
scz_camh_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,27,22,0.8148148148148148
scz_cida_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,95,0.7786885245901639
scz_phrs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,55,41,0.7454545454545455
scz_camh_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,165,148,0.896969696969697
scz_mfs1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
scz_cati_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,15,0,0.0
scz_page_all_gb-qc.hg19.ch.fl.bgs.reid.bed,478,0,0.0
scz_deco_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,25,9,0.36
scz_gapl_all_gb-qc.hg19.ch.fl.bgs.reid.bed,256,94,0.3671875
scz_phrs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_mcic_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,100,91,0.91
scz_mts1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
scz_tcdn_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1195,304,0.25439330543933053
scz_cati_all_gb-qc.hg19.ch.fl.bgs.reid.bed,733,0,0.0
scz_mts1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
scz_imhs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,3716,131,0.035252960172228204
scz_mcic_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,19,18,0.9473684210526315
scz_lanr_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,61,51,0.8360655737704918
scz_gapl_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,36,0.29508196721311475
scz_deco_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,28,10,0.35714285714285715
scz_phrs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,22,18,0.8181818181818182
scz_mcic_all_gb-qc.hg19.ch.fl.bgs.reid.bed,147,133,0.9047619047619048
scz_nefs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,2,1,0.5
scz_lanr_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,13,12,0.9230769230769231
scz_cati_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,398,0,0.0
scz_nefs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,240,175,0.7291666666666666
scz_gapl_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,109,44,0.4036697247706422
scz_umcu_all_gb-qc.hg19.ch.fl.bgs.reid.bed,666,528,0.7927927927927928
scz_imhs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,3716,131,0.035252960172228204
scz_cida_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,58,44,0.7586206896551724
scz_deco_all_gb-qc.hg19.ch.fl.bgs.reid.bed,515,141,0.2737864077669903
scz_nefs_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,24,22,0.9166666666666666
scz_camh_all_gb-qc.hg19.ch.fl.bgs.reid.bed,220,191,0.8681818181818182
scz_nefs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,206,146,0.7087378640776699
scz_mfs1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
scz_paco_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1066,0,0.0
scz_cogs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,566,0,0.0
scz_nefs_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,8,6,0.75
scz_phrs_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,32,22,0.6875
scz_page_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,478,0,0.0
scz_cati_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,91,0,0.0
sum_total,21086,3994,nan
