Bed_file,Genomic_N,Overlap_N,Percentage_found
scz_cid1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,64,64,1.0
scz_usz1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,153,153,1.0
scz_mts1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
scz_nef1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,55,55,1.0
scz_tcin_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,202,202,1.0
scz_deco_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,365,103,0.2821917808219178
scz_lanr_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,61,51,0.8360655737704918
scz_nef3_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,52,52,1.0
scz_gapl_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,36,0.29508196721311475
scz_phrs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,22,18,0.8181818181818182
scz_camh_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,165,148,0.896969696969697
scz_mfs1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
scz_nuig_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,98,1.0
scz_nef5_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,18,18,1.0
scz_mci1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,30,30,1.0
scz_nef2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_usz2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,375,375,1.0
scz_nef4_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,17,17,1.0
sum_total,1993,1451,nan
