Bed_file,Genomic_N,Overlap_N,Percentage_found
scz_tcdn_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1195,304,0.25439330543933053
scz_mghb_all_gb-qc.hg19.ch.fl.bgs.reid.bed,890,425,0.47752808988764045
scz_cida_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,14,12,0.8571428571428571
scz_mgh1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,52,52,1.0
scz_deco_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,97,19,0.1958762886597938
scz_cati_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,229,0,0.0
scz_mgh1_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,3,3,1.0
scz_camh_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,16,13,0.8125
scz_nef5_all_gb-qc.hg19.ch.fl.bgs.reid.bed,19,19,1.0
scz_tcd1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,630,61,0.09682539682539683
scz_mcic_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,28,24,0.8571428571428571
scz_cida_all_gb-qc.hg19.ch.fl.bgs.reid.bed,210,164,0.780952380952381
scz_tcd2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,565,243,0.4300884955752212
scz_gapl_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,25,14,0.56
scz_pac1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,951,0,0.0
scz_nuig_all_gb-qc.hg19.ch.fl.bgs.reid.bed,98,98,1.0
scz_nef5_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_mgh1_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,7,7,1.0
scz_phrs_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,22,18,0.8181818181818182
scz_mgh2_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,45,41,0.9111111111111111
scz_deco_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,25,9,0.36
scz_page_all_gb-qc.hg19.ch.fl.bgs.reid.bed,478,0,0.0
scz_mgh2_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,5,3,0.6
scz_nef3_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_imjl_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,2732,0,0.0
scz_nef4_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_mci1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,45,45,1.0
scz_deco_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,28,10,0.35714285714285715
scz_mcic_all_gb-qc.hg19.ch.fl.bgs.reid.bed,147,133,0.9047619047619048
scz_nef1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,55,55,1.0
scz_gapl_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,109,44,0.4036697247706422
scz_lanr_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_nef1_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,2,2,1.0
scz_mfs1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
scz_paco_all_gb-qc.hg19.ch.fl.bgs.reid.bed,1066,0,0.0
scz_nef4_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,17,17,1.0
scz_imh1_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,1894,27,0.014255543822597676
scz_nefs_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,8,6,0.75
scz_cida_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,58,44,0.7586206896551724
scz_page_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,478,0,0.0
scz_cid1_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,8,8,1.0
scz_mts1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
scz_usz2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,375,375,1.0
scz_nefs_all_gb-qc.hg19.ch.fl.bgs.reid.bed,240,175,0.7291666666666666
scz_cati_all_gb-qc.hg19.ch.fl.bgs.reid.bed,733,0,0.0
scz_imh2_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,1777,74,0.04164321890827237
scz_mgh2_all_gb-qc.hg19.ch.fl.bgs.reid.bed,52,48,0.9230769230769231
scz_nef5_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,18,18,1.0
scz_nef3_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_cid1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,64,64,1.0
scz_mghb_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,654,318,0.48623853211009177
scz_phrs_asn_gb-qc.hg19.ch.fl.bgs.reid.bed,1,1,1.0
scz_nef4_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,2,2,1.0
scz_lanr_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,2,1,0.5
scz_umcu_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,666,528,0.7927927927927928
scz_mfsl_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,441,27,0.061224489795918366
scz_cida_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,122,95,0.7786885245901639
scz_camh_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,165,148,0.896969696969697
scz_mgh1_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,11,11,1.0
scz_mfs1_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,0,0.0
scz_nuig_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,98,98,1.0
scz_nef1_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,4,4,1.0
scz_mghb_afr_gb-qc.hg19.ch.fl.bgs.reid.bed,166,75,0.45180722891566266
scz_mghb_amr_gb-qc.hg19.ch.fl.bgs.reid.bed,35,16,0.45714285714285713
scz_tcdn_eur_gb-qc.hg19.ch.fl.bgs.reid.bed,1195,304,0.25439330543933053
scz_gapl_all_gb-qc.hg19.ch.fl.bgs.reid.bed,256,94,0.3671875
scz_mts1_all_gb-qc.hg19.ch.fl.bgs.reid.bed,92,27,0.29347826086956524
