,"('IID', 'IID')","('IID', 'FID')","('FID', 'FID')","('FID', 'IID')"
scz_camh_all_gb-qc.hg19.ch.fl.bgn.reid,181.0,,181.0,
scz_cati_all_gb-qc.hg19.ch.fl.bgn.reid,697.0,,697.0,
scz_cida_all_gb-qc.hg19.ch.fl.bgn.reid,166.0,4.0,166.0,4.0
scz_cogs_all_gb-qc.hg19.ch.fl.bgn.reid,484.0,,,
scz_deco_all_gb-qc.hg19.ch.fl.bgn.reid,380.0,,380.0,
scz_gapl_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_imh4_all_gb-qc.hg19.ch.fl.bgn.reid,207.0,,207.0,
scz_imhs_all_gb-qc.hg19.ch.fl.bgn.reid,63.0,,63.0,
scz_lanr_all_gb-qc.hg19.ch.fl.bgn.reid,61.0,,61.0,
scz_mcic_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_mfs1_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_mts1_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_nefs_all_gb-qc.hg19.ch.fl.bgn.reid,135.0,,135.0,
scz_paco_all_gb-qc.hg19.ch.fl.bgn.reid,1067.0,1065.0,1067.0,1065.0
scz_page_all_gb-qc.hg19.ch.fl.bgn.reid,474.0,431.0,474.0,431.0
scz_phrs_all_gb-qc.hg19.ch.fl.bgn.reid,50.0,,50.0,
scz_tcdn_all_gb-qc.hg19.ch.fl.bgn.reid,980.0,980.0,980.0,980.0
scz_umcu_all_gb-qc.hg19.ch.fl.bgn.reid,465.0,,,
total,5410,,,

