,"('IID', 'IID')","('IID', 'FID')","('FID', 'FID')","('FID', 'IID')"
scz_camh_all_gb-qc.hg19.ch.fl.bgn.reid,178.0,,178.0,
scz_cati_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_cida_all_gb-qc.hg19.ch.fl.bgn.reid,151.0,7.0,151.0,7.0
scz_cogs_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_deco_all_gb-qc.hg19.ch.fl.bgn.reid,117.0,,119.0,
scz_gapl_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_imh4_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_imhs_all_gb-qc.hg19.ch.fl.bgn.reid,94.0,,94.0,
scz_lanr_all_gb-qc.hg19.ch.fl.bgn.reid,59.0,,59.0,
scz_mcic_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_mfs1_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_mts1_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_nefs_all_gb-qc.hg19.ch.fl.bgn.reid,156.0,,156.0,
scz_paco_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_page_all_gb-qc.hg19.ch.fl.bgn.reid,,,,
scz_phrs_all_gb-qc.hg19.ch.fl.bgn.reid,41.0,,41.0,
scz_tcdn_all_gb-qc.hg19.ch.fl.bgn.reid,132.0,132.0,132.0,132.0
scz_umcu_all_gb-qc.hg19.ch.fl.bgn.reid,425.0,,,
total,1353,139,930,139

